name,sku,barcode,category,price,cost,purchase_unit,selling_unit,description,for_sale,kitchen_required,active,featured,featured_tag,is_ingredient
Kalinga Blend,,,City Blend,120,,pcs,cup,Combination of medium and dark roasted coffee giving a nutty flavored with a full-bodied taste of coffee.,TRUE,FALSE,TRUE,FALSE,,FALSE
Espresso Blend,,,City Blend,130,,pcs,cup,Strongest coffee aroma with full bodied strength of an espresso shot — good for a coffee kick shot.,TRUE,FALSE,TRUE,FALSE,,FALSE
Hazelnut Flavor Coffee,,,City Blend,130,,pcs,cup,Dark roast coffee infused with hazel nut flavoring and aroma.,TRUE,FALSE,TRUE,FALSE,,FALSE
Turkish Cinnamon Coffee,,,City Blend,135,,pcs,cup,Medium roasted coffee with that hint of Mediterranean spice in it.,TRUE,FALSE,TRUE,FALSE,,FALSE
Robusta Quezon Prov,,,Pure Origin,140,,pcs,cup,"30% of the world's coffee — highest caffeine content with sharp, full-bodied coffee taste. Bitter. Best choice for a morning kick.",TRUE,FALSE,TRUE,FALSE,,FALSE
Liberica Indonesia,,,Pure Origin,150,,pcs,cup,"Only 1% of the world's coffee — gives a woody flavor, bitter strong aroma, smoky.",TRUE,FALSE,TRUE,FALSE,,FALSE
Arabica Mt. Matutum,,,Pure Origin,160,,pcs,cup,"Lowest caffeine content — milder, smoother and mellower taste of coffee. Still with that warm chocolatey aroma.",TRUE,FALSE,TRUE,FALSE,,FALSE
Excelsa Amadeo,,,Pure Origin,140,,pcs,cup,Only 7% of the world's coffee production. Rare complex taste with its richness in fruity aroma — similar to jackfruit with a slight winey aroma.,TRUE,FALSE,TRUE,FALSE,,FALSE
Cajun Corn,,,Appetizers,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Sizzling Sisig,,,Appetizers,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Kilawin na Liempo,,,Appetizers,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Lumpiang Shanghai,,,Appetizers,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Beef Loaded Nachos,,,Appetizers,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Ensaladang Mangga,,,Appetizers,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Fried Calamari,,,Appetizers,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Cheesy Bacon Fries,,,Appetizers,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Dynamite,,,Appetizers,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Boneless Chicksilog,,,Breakfast / Silog,180,,pcs,plate,,TRUE,TRUE,TRUE,FALSE,,FALSE
Tapsilog,,,Breakfast / Silog,190,,pcs,plate,,TRUE,TRUE,TRUE,FALSE,,FALSE
Lechon Silog,,,Breakfast / Silog,190,,pcs,plate,,TRUE,TRUE,TRUE,FALSE,,FALSE
Bangsilog,,,Breakfast / Silog,210,,pcs,plate,,TRUE,TRUE,TRUE,FALSE,,FALSE
Hungarian Silog,,,Breakfast / Silog,180,,pcs,plate,,TRUE,TRUE,TRUE,FALSE,,FALSE
Pinyadobo,,,Main Course,,,pcs,serving,New signature dish.,TRUE,TRUE,TRUE,FALSE,,FALSE
Crispy Pork Binagoongan,,,Main Course,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Gising Gising,,,Main Course,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Beef Caldereta,,,Main Course,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Crispy Kare Kare,,,Main Course,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Bangus Ala Pobre,,,Main Course,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Crispy Pata,,,Main Course,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Pancit Canton,,,Pancit,250,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Pancit Bihon,,,Pancit,250,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Mixed Pancit,,,Pancit,300,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Margherita Pizza,,,Pizza,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Pizza Supreme,,,Pizza,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Quattro Formaggi Pizza,,,Pizza,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Pepperoni Pizza,,,Pizza,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Hawaiian Pizza,,,Pizza,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Pork Barbecue,,,Smoke & Grill,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Honey Salmon Steak,,,Smoke & Grill,,,pcs,serving,Grilled salmon with a sweet honey glaze and herb finish.,TRUE,TRUE,TRUE,FALSE,,FALSE
Grilled Squid,,,Smoke & Grill,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Mashed Potatoes,,,Smoke & Grill,,,pcs,serving,Creamy mashed potatoes infused with a hint of truffle oil.,TRUE,TRUE,TRUE,FALSE,,FALSE
Prime Beef Ribs,,,Smoke & Grill,,,pcs,serving,"Tender, fall-off-the-bone beef ribs smoked with signature herbs.",TRUE,TRUE,TRUE,FALSE,,FALSE
Chicken Barbecue,,,Smoke & Grill,,,pcs,serving,,TRUE,TRUE,TRUE,FALSE,,FALSE
Sinigang na Baboy,,,Soup,,,pcs,serving,"A comforting Filipino pork soup with a savory-tangy tamarind broth, loaded with tender pork and fresh vegetables.",TRUE,TRUE,TRUE,FALSE,,FALSE
Beef Bulalo,,,Soup,,,pcs,serving,"A rich and hearty Filipino beef shank soup slow-cooked until the meat is fall-off-the-bone tender, served in a flavorful bone marrow broth.",TRUE,TRUE,TRUE,FALSE,,FALSE
Chicken Binakol,,,Soup,,,pcs,serving,"A traditional Filipino chicken soup cooked in coconut water with ginger and young coconut, giving it a light, naturally sweet, and aromatic flavor.",TRUE,TRUE,TRUE,FALSE,,FALSE
